Ticker,Description,Pre-market Close,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Change %,Volume,Post-market Close,Post-market Change %,Post-market Volume,Technical Rating,Market Capitalization
CARM,"Carisma Therapeutics, Inc.",4.77,-0.20920502,-1.67364017,500,5.1,6.69456067,134804,5.12,0.39215686,1832,Buy,205298840.8995820
DAKT,"Daktronics, Inc.",,,,,4.9,0.82304527,132442,4.9,0,7693,Neutral,222782058.0452680
DLTH,Duluth Holdings Inc.,,,,,5.56,-0.8912656,131262,5.56,0,8410,Sell,185846677.92513400
LFCR,"Lifecore Biomedical, Inc.",,,,,4.35,-1.13636364,131089,4.35,0,10228,Buy,131888549.65909100
BCBP,"BCB Bancorp, Inc. (NJ)",10.87,-2.94642857,-2.94642857,100,10.4,-7.14285714,130538,10.68,2.69230769,10410,Strong Sell,176189173.6428570
ISRL,Israel Acquisitions Corp,,,,,10.3,0.48780488,123163,,,,Strong Buy,205270458.53658500
PDSB,PDS Biotechnology Corporation,6.36,1.27388535,0.79617834,300,6.27,-0.15923567,120256,6.27,0,3410,Buy,193264042.88694300
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware)",9.16,2.11817168,0.33444816,300,8.87,-1.1148272,119298,8.87,0,1568,Sell,228219503.0992200
ACHV,"Achieve Life Sciences, Inc.",,,,,8.47,-1.85399768,118470,8.47,0,1093,Buy,151870158.2294320
SFST,"Southern First Bancshares, Inc.",,,,,21.33,-8.02069858,118348,21.33,0,3006,Strong Sell,171663322.15653300
LMNR,Limoneira Co,,,,,16.67,-0.53699284,117674,16.67,0,3847,Sell,297236149.7422440
III,"Information Services Group, Inc.",,,,,4.99,-1.77165354,115813,4.99,0,28379,Strong Sell,241556434.7165350
PDLB,"Ponce Financial Group, Inc.",,,,,6.84,-0.86956522,114573,6.84,0,3400,Sell,170066345.94782600
SKGR,SK Growth Opportunities Corporation,,,,,10.49,0,113837,,,,Buy,274838000.00000000
NWPX,Northwest Pipe Company,,,,,26.9,-3.65329513,113317,26.9,0,10005,Sell,267423726.47922600
BWEN,"Broadwind, Inc.",,,,,4.59,0.87912088,112689,4.59,0,2916,Neutral,95716160.76263740
CAAS,"China Automotive Systems, Inc.",4.74,2.5974026,2.5974026,230,4.5,-2.5974026,110665,4.5,0,220,Sell,135835652.92207800
UEIC,Universal Electronics Inc.,,,,,10.35,0.19361084,110350,9.4,-9.17874396,18934,Buy,132292273.24298200
GBIO,Generation Bio Co.,,,,,4.64,3.34075724,109738,4.64,0,16962,Buy,276849094.98441000
