date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2021-10-04,28.99,29.59,27.8,28.57,28.57,284925,0.0000,1.0,OLMA
2021-10-01,28.0,29.28,27.15,29.1,29.1,464816,0.0000,1.0,OLMA
2021-09-30,29.05,30.98,27.39,27.56,27.56,246388,0.0000,1.0,OLMA
2021-09-29,29.75,29.75,28.4,28.85,28.85,165466,0.0000,1.0,OLMA
2021-09-28,29.64,30.12,28.845,29.31,29.31,204765,0.0000,1.0,OLMA
2021-09-27,28.39,30.58,28.1,30.08,30.08,283881,0.0000,1.0,OLMA
2021-09-24,29.15,29.45,28.2,28.47,28.47,167533,0.0000,1.0,OLMA
2021-09-23,28.27,29.5,27.31,29.49,29.49,130829,0.0000,1.0,OLMA
2021-09-22,27.92,28.33,26.98,28.06,28.06,324055,0.0000,1.0,OLMA
2021-09-21,26.82,28.227,26.63,27.86,27.86,388381,0.0000,1.0,OLMA
2021-09-20,25.935,26.74,25.67,26.56,26.56,609824,0.0000,1.0,OLMA
2021-09-17,28.9,29.0,27.25,27.38,27.38,2492027,0.0000,1.0,OLMA
2021-09-16,27.27,29.25,26.605,28.75,28.75,380001,0.0000,1.0,OLMA
2021-09-15,27.3,27.63,26.84,27.27,27.27,297465,0.0000,1.0,OLMA
2021-09-14,28.1,28.42,27.04,27.27,27.27,227896,0.0000,1.0,OLMA
2021-09-13,29.46,29.555,27.71,27.9,27.9,326841,0.0000,1.0,OLMA
2021-09-10,29.32,29.62,28.81,29.3,29.3,285632,0.0000,1.0,OLMA
2021-09-09,30.06,30.68,29.25,29.25,29.25,293365,0.0000,1.0,OLMA
2021-09-08,29.77,30.31,27.88,29.87,29.87,271922,0.0000,1.0,OLMA
2021-09-07,29.27,30.38,29.25,29.86,29.86,309872,0.0000,1.0,OLMA
2021-09-03,29.59,30.34,29.1,29.42,29.42,258554,0.0000,1.0,OLMA
2021-09-02,29.55,29.745,29.18,29.49,29.49,359480,0.0000,1.0,OLMA
2021-09-01,30.08,30.37,29.46,29.58,29.58,215720,0.0000,1.0,OLMA
2021-08-31,30.28,31.08,29.43,29.92,29.92,283805,0.0000,1.0,OLMA
2021-08-30,30.39,30.54,29.52,30.06,30.06,269163,0.0000,1.0,OLMA
2021-08-27,30.04,31.0,29.7,30.13,30.13,244586,0.0000,1.0,OLMA
2021-08-26,30.31,30.74,29.49,29.73,29.73,358193,0.0000,1.0,OLMA
2021-08-25,29.44,30.105,29.31,29.96,29.96,182173,0.0000,1.0,OLMA
2021-08-24,29.9,29.9,28.93,29.38,29.38,308257,0.0000,1.0,OLMA
2021-08-23,28.27,29.84,28.0,29.51,29.51,482836,0.0000,1.0,OLMA
2021-08-20,26.03,28.35,26.03,27.54,27.54,243456,0.0000,1.0,OLMA
2021-08-19,25.55,27.04,24.56,26.07,26.07,311542,0.0000,1.0,OLMA
2021-08-18,27.12,27.48,25.79,25.95,25.95,105657,0.0000,1.0,OLMA
2021-08-17,25.93,27.29,25.6,27.0,27.0,184812,0.0000,1.0,OLMA
2021-08-16,26.9,27.47,25.505,26.16,26.16,161434,0.0000,1.0,OLMA
2021-08-13,27.28,28.1156,26.55,26.8,26.8,221255,0.0000,1.0,OLMA
2021-08-12,27.11,28.25,26.41,27.32,27.32,215435,0.0000,1.0,OLMA
2021-08-11,25.69,27.615,25.6,27.21,27.21,164165,0.0000,1.0,OLMA
2021-08-10,26.02,26.12,24.96,25.93,25.93,337985,0.0000,1.0,OLMA
2021-08-09,26.34,27.47,25.45,26.31,26.31,220291,0.0000,1.0,OLMA
2021-08-06,24.37,26.31,23.8,26.14,26.14,366534,0.0000,1.0,OLMA
2021-08-05,24.25,25.37,23.885,24.05,24.05,186075,0.0000,1.0,OLMA
2021-08-04,24.05,24.3,23.8118,24.17,24.17,417075,0.0000,1.0,OLMA
2021-08-03,24.23,24.75,23.8,24.1,24.1,369416,0.0000,1.0,OLMA
2021-08-02,23.48,24.78,23.3,23.96,23.96,284463,0.0000,1.0,OLMA
2021-07-30,23.32,23.8,22.6,23.48,23.48,231149,0.0000,1.0,OLMA
2021-07-29,24.08,25.5339,22.65,23.52,23.52,212736,0.0000,1.0,OLMA
2021-07-28,23.25,24.71,22.9,23.92,23.92,165591,0.0000,1.0,OLMA
2021-07-27,23.15,23.9799,21.86,22.96,22.96,134022,0.0000,1.0,OLMA
2021-07-26,25.87,25.87,23.05,23.43,23.43,263055,0.0000,1.0,OLMA
2021-07-23,25.13,26.54,24.36,25.82,25.82,303706,0.0000,1.0,OLMA
2021-07-22,26.27,27.275,24.315,24.91,24.91,552782,0.0000,1.0,OLMA
2021-07-21,25.73,26.965,25.22,26.25,26.25,188844,0.0000,1.0,OLMA
2021-07-20,24.85,26.1,24.44,25.45,25.45,173089,0.0000,1.0,OLMA
2021-07-19,24.0,25.29,23.52,24.66,24.66,264848,0.0000,1.0,OLMA
2021-07-16,25.32,25.32,24.06,24.46,24.46,221631,0.0000,1.0,OLMA
2021-07-15,24.17,25.185,23.635,24.9,24.9,252075,0.0000,1.0,OLMA
2021-07-14,25.87,25.87,23.74,24.3,24.3,80330,0.0000,1.0,OLMA
2021-07-13,26.78,27.87,25.39,25.64,25.64,274263,0.0000,1.0,OLMA
2021-07-12,26.61,27.34,25.74,27.01,27.01,89829,0.0000,1.0,OLMA
2021-07-09,26.31,26.62,25.55,26.61,26.61,91247,0.0000,1.0,OLMA
2021-07-08,25.24,26.42,24.17,25.86,25.86,157083,0.0000,1.0,OLMA
2021-07-07,25.77,26.335,24.89,25.86,25.86,271022,0.0000,1.0,OLMA
2021-07-06,26.83,26.8899,25.68,25.69,25.69,75531,0.0000,1.0,OLMA
2021-07-02,27.36,27.8,26.01,26.67,26.67,101402,0.0000,1.0,OLMA
2021-07-01,28.22,28.22,27.09,27.17,27.17,135075,0.0000,1.0,OLMA
2021-06-30,27.74,29.3,27.71,27.98,27.98,188398,0.0000,1.0,OLMA
2021-06-29,29.27,29.59,27.87,27.98,27.98,89970,0.0000,1.0,OLMA
2021-06-28,30.08,30.12,28.92,29.01,29.01,133720,0.0000,1.0,OLMA
2021-06-25,28.26,30.06,27.71,30.06,30.06,410084,0.0000,1.0,OLMA
2021-06-24,26.87,28.305,26.87,28.07,28.07,201884,0.0000,1.0,OLMA
2021-06-23,26.2,26.8933,25.98,26.64,26.64,81197,0.0000,1.0,OLMA
2021-06-22,25.03,26.16,24.6489,26.14,26.14,486460,0.0000,1.0,OLMA
2021-06-21,24.68,26.04,24.35,25.39,25.39,605279,0.0000,1.0,OLMA
2021-06-18,27.0,27.36,24.18,24.51,24.51,889228,0.0000,1.0,OLMA
2021-06-17,29.5,30.43,26.82,27.61,27.61,487298,0.0000,1.0,OLMA
2021-06-16,30.27,31.71,28.73,29.23,29.23,438434,0.0000,1.0,OLMA
2021-06-15,30.26,32.77,29.22,30.51,30.51,565765,0.0000,1.0,OLMA
2021-06-14,29.28,30.305,28.785,29.91,29.91,461005,0.0000,1.0,OLMA
2021-06-11,29.64,29.83,28.7,28.81,28.81,160341,0.0000,1.0,OLMA
2021-06-10,28.07,30.21,27.79,29.7,29.7,200681,0.0000,1.0,OLMA
2021-06-09,27.98,28.86,27.51,27.66,27.66,203158,0.0000,1.0,OLMA
2021-06-08,28.95,29.39,27.69,28.03,28.03,205086,0.0000,1.0,OLMA
2021-06-07,28.09,29.61,27.61,28.81,28.81,347282,0.0000,1.0,OLMA
2021-06-04,27.66,28.49,27.54,27.71,27.71,162672,0.0000,1.0,OLMA
2021-06-03,28.04,28.395,27.43,27.63,27.63,186388,0.0000,1.0,OLMA
2021-06-02,27.49,28.56,26.1,28.09,28.09,138314,0.0000,1.0,OLMA
2021-06-01,28.16,28.48,26.5,27.64,27.64,227923,0.0000,1.0,OLMA
